price,quantity
104307.96000000,0.09036000
104307.92000000,0.07977000
104307.78000000,0.09190000
104307.65000000,0.09089000
104307.52000000,0.09333000
104307.34000000,0.08845000
104307.25000000,0.07871000
104307.19000000,0.09305000
104307.17000000,0.08552000
104307.12000000,0.08370000
104307.00000000,0.09338000
104306.61000000,0.08701000
104306.30000000,0.07531000
104306.22000000,0.09319000
104306.00000000,0.08447000
104305.90000000,0.09501000
104305.76000000,0.07963000
104301.30000000,2.84128000
104297.31000000,0.07436000
104291.58000000,0.07887000
104290.01000000,0.09244000
104268.35000000,0.04529000
104179.12000000,0.12273000
104174.16000000,0.09828000
104173.01000000,0.00100000
104167.63000000,0.07870000
104157.30000000,0.06304000
104143.61000000,0.05049000
104133.61000000,0.04044000
104114.77000000,0.23863000
104112.90000000,0.19107000
104099.66000000,0.15297000
104099.53000000,0.01687000
104018.35000000,0.04540000
103807.90000000,0.00100000
103768.35000000,0.04550000
103518.35000000,0.04561000
103377.53000000,0.00191000
103268.35000000,0.04573000
103140.00000000,0.00016000
103100.00000000,0.00040000
103024.75000000,0.00100000
103021.92000000,0.00024000
103018.35000000,0.04584000
103009.50000000,0.00100000
103000.00000000,0.00040000
102956.09000000,0.00100000
102943.52000000,0.00009000
102921.92000000,0.00100000
102913.30000000,0.00100000
102900.00000000,0.00040000
102883.51000000,0.00070000
102881.58000000,0.00009000
102846.10000000,0.00070000
102845.42000000,0.00070000
102836.29000000,0.00070000
102833.31000000,0.00070000
102817.78000000,0.00070000
102817.43000000,0.00070000
102808.13000000,0.00070000
102800.00000000,0.00040000
102798.25000000,0.00011000
102779.85000000,0.00070000
102777.68000000,0.00070000
102768.35000000,0.04595000
102744.88000000,0.00040000
102700.00000000,0.00040000
102661.34000000,0.00011000
102655.00000000,0.00021000
102634.81000000,0.01364000
102634.28000000,0.00100000
102600.00000000,0.00040000
102556.68000000,0.00009000
102533.05000000,0.00048000
102532.18000000,0.01463000
102518.85000000,0.00100000
102518.45000000,0.00100000
102518.35000000,0.04606000
102494.98000000,0.00009000
102472.23000000,0.00100000
102444.62000000,0.00048000
102429.65000000,0.01562000
102395.27000000,0.00100000
102380.12000000,0.00100000
102361.34000000,0.00213000
102346.27000000,0.00100000
102330.00000000,0.00016000
102327.22000000,0.01661000
102327.03000000,0.00100000
102324.36000000,0.00070000
102287.15000000,0.00070000
102286.48000000,0.00070000
102284.50000000,0.00100000
102277.39000000,0.00070000
102276.44000000,0.00011000
102274.43000000,0.00070000
102268.35000000,0.04617000
102258.98000000,0.00070000
102258.64000000,0.00070000
102249.39000000,0.00070000
