date,Tasa de empleo (%),PBI total (USD),Inflación anual (%),Tasa de interés (%),Deuda del gobierno (% PBI)
2024,59.399,,2.94952520485207,,
2023,59.821,27720709000000.0,4.11633838374488,,114.755553330184
2022,59.539,26006893000000.0,8.00279982052121,,112.817613391957
2021,58.211,23681171000000.0,4.69785886363742,3.25,118.400948162572
2020,56.598,21354105000000.0,1.23358439630629,3.54416666666667,124.514696354635
2019,60.542,21539982000000.0,1.81221007526021,5.2825,100.058217318845
2018,60.153,20656516000000.0,2.44258329692817,4.90416666666667,98.4497724592085
2017,59.824,19612102000000.0,2.13011000365961,4.09666666666667,97.021634906855
2016,59.391,18804913000000.0,1.26158320570536,3.51166666666667,97.9289348480368
2015,58.979,18295019000000.0,0.118627135552451,3.26,95.9561561537597
2014,58.595,17608138000000.0,1.62222297740817,3.25,95.454198507531
2013,58.108,16880683000000.0,1.46483265562717,3.25,95.3225056118879
2012,58.017,16253970000000.0,2.06933726526067,3.25,93.6492746079881
2011,57.574,15599732000000.0,3.156841568622,3.25,89.5467947782693
2010,57.592,15048971000000.0,1.6400434423899,3.25,84.9643739761343
2009,58.412,14478067000000.0,-0.355546266299747,3.25,75.8420374764117
2008,61.226,14769862000000.0,3.839100296651,5.0875,63.8151121520296
2007,61.99,14474228000000.0,2.85267248150138,8.05,55.6599218970435
2006,62.162,13815583000000.0,3.22594410070404,7.9575,55.46735161303
2005,61.742,13039197000000.0,3.3927468454955,6.18916666666667,56.5388574158363
2004,61.407,12217196000000.0,2.67723669309172,4.34,56.6622734054524
2003,61.314,11456450000000.0,2.27009497336115,4.1225,56.2503655146228
2002,61.793,10929108000000.0,1.58603162650601,4.675,53.8625384615103
2001,62.746,10581929000000.0,2.82617111885407,6.92166666666667,52.4436801645522
2000,63.506,10250952000000.0,3.37685727149929,9.23333333333333,33.2676418736523
1999,63.27,9631172000000.0,2.18802719697358,7.99416666666667,37.7272880185298
1998,63.033,9062817000000.0,1.55227909874364,8.35416666666667,41.1291544339911
1997,62.78,8577552000000.0,2.33768993730735,8.44166666666667,44.1174824705231
1996,62.189,8073122000000.0,2.93120419993441,8.27083333333333,46.7417685500108
1995,61.897,7639749000000.0,2.80541968853662,8.82916666666667,47.2095352870886
1994,61.469,7287236000000.0,2.60744159215453,7.13833333333333,47.3534821707435
1993,60.64,6858559000000.0,2.95165696638559,6.0,48.2461403335599
1992,60.358,6520327000000.0,3.02881967814969,6.25166666666667,46.0501444176036
1991,60.58,6158129000000.0,4.23496396453849,8.46333333333333,44.0615972806026
1990,,5963144000000.0,5.39795643990325,10.0091666666667,40.933943570707
1989,,5641580000000.0,4.82700303008944,10.8733333333333,39.128400199944
1988,,5236438000000.0,4.07774110744413,9.315,
1987,,4855215000000.0,3.6645632175169,8.20333333333333,
1986,,4579631000000.0,1.89804772234276,8.3325,
1985,,4338979000000.0,3.54564415209365,9.93333333333333,
1984,,4037613000000.0,4.30053547523429,12.0425,
1983,,3634038000000.0,3.21243523316065,10.7941666666667,
1982,,3343789000000.0,6.13142700027493,14.8608333333333,
1981,,3207041000000.0,10.3347153402771,18.87,
1980,,2857307000000.0,13.5492019749684,15.2658333333333,
1979,,2627333000000.0,11.2544711292795,12.6658333333333,
1978,,2351599000000.0,7.63096383885606,9.05666666666667,
1977,,2081826000000.0,6.5016839947284,6.82416666666667,
1976,,1873412000000.0,5.74481263549085,6.84,
1975,,1684904000000.0,9.14314686496535,7.8625,
1974,,1545243000000.0,11.0548048048048,10.7983333333333,
1973,,1425376000000.0,6.17776006377038,8.02166666666667,
1972,,1279110000000.0,3.27227824655283,5.24833333333333,
1971,,1164850000000.0,4.29276668813051,5.72333333333333,
1970,,1073303000000.0,5.83825533848251,7.91,
1969,,1017438172413.79,5.46238620028745,7.95166666666667,
1968,,940225000000.0,4.27179615288537,6.3125,
1967,,859620034482.759,2.77278562259309,5.63333333333333,
1966,,813032758620.69,3.0150753768844,5.625,
1965,,741904862068.965,1.58516926383662,4.535,
1964,,684144620689.655,1.27891156462591,4.5,
1963,,637058551724.138,1.23966942148753,4.5,
1962,,603639413793.103,1.19877334820186,4.5,
1961,,561940310344.828,1.07072414764724,4.5,
1960,,541988586206.897,1.45797598627791,4.82083333333333,
